Facility Fluid,IT Fluid,Heat Rate (kW),UA (W/K),Hot Inlet Temp (C),Hot Outlet Temp (C),Cold Inlet Temp (C),Cold Outlet Temp (C),Hot Mass Flow (kg/s),Cold Mass Flow (kg/s)
pg25,pg25,500.0,164952.51998959182,42.99993311373834,33.08075999696126,30.0,40.0,12.698251188601999,12.698251188601999
pg25,pg25,500.0,164962.93885281176,52.99993396353375,43.08026625993807,40.0,50.0,12.619153126786335,12.619153126786335
pg25,pg25,500.0,164973.2084394342,62.999934795362606,53.079779638142895,50.0,60.0,12.541029822187873,12.541029822187873
pg25,pg25,1000.0,329862.1159811054,22.999934386133702,13.08177242582343,10.0,20.0,25.718899917931918,25.718899917931918
pg25,pg25,1000.0,329883.5725289915,32.999935235212945,23.08126399716531,20.0,30.0,25.556686942697077,25.556686942697077
pg25,pg25,1000.0,329904.71865230176,42.99993606610019,33.080762967531655,30.0,40.0,25.396502377203998,25.396502377203998
pg25,pg25,1000.0,329925.5603220935,52.99993687929555,43.08026919357371,40.0,50.0,25.23830625357267,25.23830625357267
pg25,pg25,1000.0,329946.1033577782,62.99993767528201,53.07978253561032,50.0,60.0,25.082059644375747,25.082059644375747
pg25,515,100.0,14069.266318446476,22.952689665729622,13.96822790108115,10.0,20.0,1.0900600213715546,2.5718899917931917
pg25,515,100.0,13774.581437001216,33.04901321132161,23.81734998810947,20.0,30.0,1.1349582476285256,2.5556686942697078
pg25,515,100.0,13946.140289866877,42.95198081091223,33.50056907337614,30.0,40.0,1.187971717305783,2.5396502377203998
pg25,515,100.0,13621.807824044723,53.04698960278449,43.27022608893577,40.0,50.0,1.2519782535054453,2.523830625357267
pg25,515,100.0,13269.967022856645,63.145003938264836,53.00386340545549,50.0,60.0,1.331444857666289,2.5082059644375745
pg25,515,250.0,34578.54916384487,23.04831584538482,14.033940887480128,10.0,20.0,2.7251500534288864,6.429724979482979
pg25,515,250.0,34437.27185389465,33.048878733795675,23.817259924161817,20.0,30.0,2.837395619071314,6.389171735674269
pg25,515,250.0,34864.10707839186,42.95217760875829,33.500696984178205,30.0,40.0,2.969929293264458,6.349125594300999
pg25,515,250.0,34639.8789424644,52.952249477805196,43.21072243557995,40.0,50.0,3.1299456337636133,6.3095765633931675
pg25,515,250.0,33248.0389570872,63.13242835821819,52.996239034745486,50.0,60.0,3.328612144165722,6.270514911093937
pg25,515,500.0,69107.11971724613,23.052417953669817,14.036759631288078,10.0,20.0,5.450300106857773,12.859449958965959
pg25,515,500.0,68907.39052637908,33.046181177975086,23.81545328034923,20.0,30.0,5.674791238142628,12.778343471348538
pg25,515,500.0,69694.55048933015,42.95484271950113,33.50242919711866,30.0,40.0,5.939858586528916,12.698251188601999
pg25,515,500.0,69286.32605609814,52.95172834972482,43.2103951132097,40.0,50.0,6.259891267527227,12.619153126786335
pg25,515,500.0,66497.37565666196,63.1323170466751,52.996171548573784,50.0,60.0,6.657224288331444,12.541029822187873
pg25,515,1000.0,138273.86630321902,23.049970124862682,14.035077619263632,10.0,20.0,10.900600213715546,25.718899917931918
pg25,515,1000.0,140205.51289818276,32.94999299781904,23.75102848921631,20.0,30.0,11.349582476285256,25.556686942697077
pg25,515,1000.0,139492.44685716653,42.95075305818858,33.4997710819606,30.0,40.0,11.879717173057832,25.396502377203998
pg25,515,1000.0,138569.56581316623,52.951850775162086,43.21047200907225,40.0,50.0,12.519782535054453,25.23830625357267
pg25,515,1000.0,132996.05296459256,63.132261225137825,52.996137704988826,50.0,60.0,13.314448576662889,25.082059644375747
515,pg25,100.0,14214.55590498144,28.00270520787933,18.115682099548962,10.0,15.0,2.5718899917931917,1.0900600213715546
515,pg25,100.0,13926.569718921106,38.08827248555133,28.201076545364742,20.0,25.0,2.5556686942697078,1.1349582476285256
515,pg25,100.0,13884.654031895663,48.06850146401928,38.18049083740215,30.0,35.0,2.5396502377203998,1.187971717305783
515,pg25,100.0,14037.178208661213,57.958724878807345,48.06936267941779,40.0,45.0,2.523830625357267,1.2519782535054453
515,pg25,100.0,13722.084394238795,68.01376689703574,58.1240691073354,50.0,55.0,2.5082059644375745,1.331444857666289
515,pg25,250.0,35555.94650431166,27.999664287265546,18.112622310469476,10.0,15.0,6.429724979482979,2.7251500534288864
515,pg25,250.0,35414.443742237665,37.99317606967804,28.105393708738006,20.0,25.0,6.389171735674269,2.837395619071314
515,pg25,250.0,34692.4703504986,48.0716104552817,38.183618883552185,30.0,35.0,6.349125594300999,2.969929293264458
515,pg25,250.0,34518.304539690675,58.05044850019647,48.16164513428919,40.0,45.0,6.3095765633931675,3.1299456337636133
515,pg25,250.0,34865.01407036396,67.92421816031566,58.0339780194908,50.0,55.0,6.270514911093937,3.328612144165722
515,pg25,500.0,69894.52913324405,28.096164979819093,18.20972174064451,10.0,15.0,12.859449958965959,5.450300106857773
515,pg25,500.0,70875.40480247811,37.989552625692966,28.10174791908429,20.0,25.0,12.778343471348538,5.674791238142628
515,pg25,500.0,69335.93063954417,48.075591559634006,38.1876243878329,30.0,35.0,12.698251188601999,5.939858586528916
515,pg25,500.0,69068.46047513188,58.04785890536198,48.159039763002056,40.0,45.0,12.619153126786335,6.259891267527227
515,pg25,500.0,69697.61576569841,67.92676391249478,58.03653919081023,50.0,55.0,12.541029822187873,6.657224288331444
515,pg25,1000.0,139840.54719820627,28.094083862077866,18.207627711390728,10.0,15.0,25.718899917931918,10.900600213715546
515,pg25,1000.0,141695.3059948992,37.99171367407689,28.10392229459984,20.0,25.0,25.556686942697077,11.349582476285256
515,pg25,1000.0,138730.33629792015,48.07321580466663,38.18523407203298,30.0,35.0,25.396502377203998,11.879717173057832
515,pg25,1000.0,140496.7150982341,57.95383885857029,48.06444688895266,40.0,45.0,25.23830625357267,12.519782535054453
515,pg25,1000.0,139494.744334535,67.9228570392807,58.032608654383125,50.0,55.0,25.082059644375747,13.314448576662889
515,515,100.0,14070.663881081296,21.58850202822299,13.029960197143225,10.0,15.0,1.0900600213715546,1.0900600213715546
515,515,100.0,13431.080315257399,31.861264779731698,23.021232375530133,20.0,25.0,1.1349582476285256,1.1349582476285256
515,515,100.0,12764.512119413908,42.16666555234514,32.989863958888975,30.0,35.0,1.187971717305783,1.187971717305783
515,515,100.0,11838.963436939302,52.654791613851785,43.023858778583985,40.0,45.0,1.2519782535054453,1.2519782535054453
515,515,100.0,10918.344281128831,63.19701612107707,53.0353980724077,50.0,55.0,1.331444857666289,1.331444857666289
515,515,250.0,35643.74437451696,21.502164625640887,12.970527402217556,10.0,15.0,2.7251500534288864,2.7251500534288864
515,515,250.0,33557.546011595834,31.865385678751636,23.023996741586927,20.0,25.0,2.837395619071314,2.837395619071314
515,515,250.0,31640.422342796246,42.228015820048256,33.02978157785134,30.0,35.0,2.969929293264458,2.969929293264458
515,515,250.0,29539.62337517999,52.66976586691408,43.03326705659322,40.0,45.0,3.1299456337636133,3.1299456337636133
515,515,250.0,27321.496707916343,63.18932478742562,53.03073481033141,50.0,55.0,3.328612144165722,3.328612144165722
515,515,500.0,71283.51739598927,21.502526874758587,12.97077677934999,10.0,15.0,5.450300106857773,5.450300106857773
515,515,500.0,67112.48720981742,31.86565214255262,23.024175489302706,20.0,25.0,5.674791238142628,5.674791238142628
515,515,500.0,63273.40861264362,42.228865277254556,33.03033425368153,30.0,35.0,5.939858586528916,5.939858586528916
515,515,500.0,59068.2109237125,52.67119882391768,43.03416737116885,40.0,45.0,6.259891267527227,6.259891267527227
515,515,500.0,54625.09733443877,63.19200774507891,53.0323614876761,50.0,55.0,6.657224288331444,6.657224288331444
515,515,1000.0,142551.1877246209,21.503249744788832,12.97127441242452,10.0,15.0,10.900600213715546,10.900600213715546
515,515,1000.0,134244.60381948666,31.864648239026394,23.02350205617489,20.0,25.0,11.349582476285256,11.349582476285256
515,515,1000.0,126539.38228279707,42.22929001615114,33.030610598042244,30.0,35.0,11.879717173057832,11.879717173057832
515,515,1000.0,118125.38691291171,52.671915445288164,43.034617617699325,40.0,45.0,12.519782535054453,12.519782535054453
515,515,1000.0,109232.297139904,63.19334999183019,53.03317529280332,50.0,55.0,13.314448576662889,13.314448576662889
